"","regija","leto","vrsta selitve","stevilo"
"314","Posavska",2013,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-237
"315","Posavska",2014,"Selitveni prirast s tujino - Skupaj",-39
"316","Posavska",2014,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",104
"317","Posavska",2015,"Selitveni prirast s tujino - Skupaj",23
"318","Posavska",2015,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",106
"319","Posavska",2016,"Selitveni prirast s tujino - Skupaj",-4
"320","Posavska",2016,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-30
"321","Posavska",2017,"Selitveni prirast s tujino - Skupaj",-72
"322","Posavska",2017,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-74
"323","Jugovzhodna Slovenija",1995,"Selitveni prirast s tujino - Skupaj",118
"324","Jugovzhodna Slovenija",1995,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",53
"325","Jugovzhodna Slovenija",1996,"Selitveni prirast s tujino - Skupaj",35
"326","Jugovzhodna Slovenija",1996,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",91
"327","Jugovzhodna Slovenija",1997,"Selitveni prirast s tujino - Skupaj",41
"328","Jugovzhodna Slovenija",1997,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",79
"329","Jugovzhodna Slovenija",1998,"Selitveni prirast s tujino - Skupaj",-93
"330","Jugovzhodna Slovenija",1998,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",61
"331","Jugovzhodna Slovenija",1999,"Selitveni prirast s tujino - Skupaj",113
"332","Jugovzhodna Slovenija",1999,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",172
"333","Jugovzhodna Slovenija",2000,"Selitveni prirast s tujino - Skupaj",70
"334","Jugovzhodna Slovenija",2000,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",108
"335","Jugovzhodna Slovenija",2001,"Selitveni prirast s tujino - Skupaj",42
"336","Jugovzhodna Slovenija",2001,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",61
"337","Jugovzhodna Slovenija",2002,"Selitveni prirast s tujino - Skupaj",127
"338","Jugovzhodna Slovenija",2002,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",8
"339","Jugovzhodna Slovenija",2003,"Selitveni prirast s tujino - Skupaj",196
"340","Jugovzhodna Slovenija",2003,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",85
"341","Jugovzhodna Slovenija",2004,"Selitveni prirast s tujino - Skupaj",148
"342","Jugovzhodna Slovenija",2004,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",80
"343","Jugovzhodna Slovenija",2005,"Selitveni prirast s tujino - Skupaj",480
"344","Jugovzhodna Slovenija",2005,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",70
"345","Jugovzhodna Slovenija",2006,"Selitveni prirast s tujino - Skupaj",405
"346","Jugovzhodna Slovenija",2006,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",19
"347","Jugovzhodna Slovenija",2007,"Selitveni prirast s tujino - Skupaj",1007
"348","Jugovzhodna Slovenija",2007,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-88
"349","Jugovzhodna Slovenija",2008,"Selitveni prirast s tujino - Skupaj",1447
"350","Jugovzhodna Slovenija",2008,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-147
"351","Jugovzhodna Slovenija",2009,"Selitveni prirast s tujino - Skupaj",728
"352","Jugovzhodna Slovenija",2009,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",25
"353","Jugovzhodna Slovenija",2010,"Selitveni prirast s tujino - Skupaj",42
"354","Jugovzhodna Slovenija",2010,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-12
"355","Jugovzhodna Slovenija",2011,"Selitveni prirast s tujino - Skupaj",154
"356","Jugovzhodna Slovenija",2011,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-241
"357","Jugovzhodna Slovenija",2012,"Selitveni prirast s tujino - Skupaj",-60
"358","Jugovzhodna Slovenija",2012,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-406
"359","Jugovzhodna Slovenija",2013,"Selitveni prirast s tujino - Skupaj",1
"360","Jugovzhodna Slovenija",2013,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-317
"361","Jugovzhodna Slovenija",2014,"Selitveni prirast s tujino - Skupaj",18
"362","Jugovzhodna Slovenija",2014,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-347
"363","Jugovzhodna Slovenija",2015,"Selitveni prirast s tujino - Skupaj",31
"364","Jugovzhodna Slovenija",2015,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",38
"365","Jugovzhodna Slovenija",2016,"Selitveni prirast s tujino - Skupaj",19
"366","Jugovzhodna Slovenija",2016,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-65
"367","Jugovzhodna Slovenija",2017,"Selitveni prirast s tujino - Skupaj",71
"368","Jugovzhodna Slovenija",2017,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-80
"369","Osrednjeslovenska",1995,"Selitveni prirast s tujino - Skupaj",372
"370","Osrednjeslovenska",1995,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-98
"371","Osrednjeslovenska",1996,"Selitveni prirast s tujino - Skupaj",168
"372","Osrednjeslovenska",1996,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-226
"373","Osrednjeslovenska",1997,"Selitveni prirast s tujino - Skupaj",88
"374","Osrednjeslovenska",1997,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-176
"375","Osrednjeslovenska",1998,"Selitveni prirast s tujino - Skupaj",-759
"376","Osrednjeslovenska",1998,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-172
"377","Osrednjeslovenska",1999,"Selitveni prirast s tujino - Skupaj",774
"378","Osrednjeslovenska",1999,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-235
"379","Osrednjeslovenska",2000,"Selitveni prirast s tujino - Skupaj",1046
"380","Osrednjeslovenska",2000,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-176
"381","Osrednjeslovenska",2001,"Selitveni prirast s tujino - Skupaj",1281
"382","Osrednjeslovenska",2001,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",151
"383","Osrednjeslovenska",2002,"Selitveni prirast s tujino - Skupaj",493
"384","Osrednjeslovenska",2002,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",112
"385","Osrednjeslovenska",2003,"Selitveni prirast s tujino - Skupaj",1095
"386","Osrednjeslovenska",2003,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",234
"387","Osrednjeslovenska",2004,"Selitveni prirast s tujino - Skupaj",1020
"388","Osrednjeslovenska",2004,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",254
"389","Osrednjeslovenska",2005,"Selitveni prirast s tujino - Skupaj",2154
"390","Osrednjeslovenska",2005,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",336
"391","Osrednjeslovenska",2006,"Selitveni prirast s tujino - Skupaj",2003
"392","Osrednjeslovenska",2006,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",591
"393","Osrednjeslovenska",2007,"Selitveni prirast s tujino - Skupaj",3881
"394","Osrednjeslovenska",2007,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",681
"395","Osrednjeslovenska",2008,"Selitveni prirast s tujino - Skupaj",6949
"396","Osrednjeslovenska",2008,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",4279
"397","Osrednjeslovenska",2009,"Selitveni prirast s tujino - Skupaj",4762
"398","Osrednjeslovenska",2009,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",2415
"399","Osrednjeslovenska",2010,"Selitveni prirast s tujino - Skupaj",-128
"400","Osrednjeslovenska",2010,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",1378
"401","Osrednjeslovenska",2011,"Selitveni prirast s tujino - Skupaj",551
"402","Osrednjeslovenska",2011,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",554
"403","Osrednjeslovenska",2012,"Selitveni prirast s tujino - Skupaj",692
"404","Osrednjeslovenska",2012,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",2518
"405","Osrednjeslovenska",2013,"Selitveni prirast s tujino - Skupaj",274
"406","Osrednjeslovenska",2013,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",2556
"407","Osrednjeslovenska",2014,"Selitveni prirast s tujino - Skupaj",371
"408","Osrednjeslovenska",2014,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",1042
"409","Osrednjeslovenska",2015,"Selitveni prirast s tujino - Skupaj",400
"410","Osrednjeslovenska",2015,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",641
"411","Osrednjeslovenska",2016,"Selitveni prirast s tujino - Skupaj",520
"412","Osrednjeslovenska",2016,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",683
"413","Osrednjeslovenska",2017,"Selitveni prirast s tujino - Skupaj",596
"414","Osrednjeslovenska",2017,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",896
"415","Gorenjska",1995,"Selitveni prirast s tujino - Skupaj",78
"416","Gorenjska",1995,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",180
"417","Gorenjska",1996,"Selitveni prirast s tujino - Skupaj",66
"418","Gorenjska",1996,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",146
"419","Gorenjska",1997,"Selitveni prirast s tujino - Skupaj",-10
"420","Gorenjska",1997,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",75
"421","Gorenjska",1998,"Selitveni prirast s tujino - Skupaj",-492
"422","Gorenjska",1998,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",79
"423","Gorenjska",1999,"Selitveni prirast s tujino - Skupaj",267
"424","Gorenjska",1999,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",61
"425","Gorenjska",2000,"Selitveni prirast s tujino - Skupaj",-32
"426","Gorenjska",2000,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",51
"427","Gorenjska",2001,"Selitveni prirast s tujino - Skupaj",176
"428","Gorenjska",2001,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-132
"429","Gorenjska",2002,"Selitveni prirast s tujino - Skupaj",27
"430","Gorenjska",2002,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-98
"431","Gorenjska",2003,"Selitveni prirast s tujino - Skupaj",113
"432","Gorenjska",2003,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-116
"433","Gorenjska",2004,"Selitveni prirast s tujino - Skupaj",-9
"434","Gorenjska",2004,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-49
"435","Gorenjska",2005,"Selitveni prirast s tujino - Skupaj",394
"436","Gorenjska",2005,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-152
"437","Gorenjska",2006,"Selitveni prirast s tujino - Skupaj",348
"438","Gorenjska",2006,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-180
"439","Gorenjska",2007,"Selitveni prirast s tujino - Skupaj",970
"440","Gorenjska",2007,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-178
"441","Gorenjska",2008,"Selitveni prirast s tujino - Skupaj",1663
"442","Gorenjska",2008,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-539
"443","Gorenjska",2009,"Selitveni prirast s tujino - Skupaj",794
"444","Gorenjska",2009,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-509
"445","Gorenjska",2010,"Selitveni prirast s tujino - Skupaj",130
"446","Gorenjska",2010,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-310
"447","Gorenjska",2011,"Selitveni prirast s tujino - Skupaj",230
"448","Gorenjska",2011,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-246
"449","Gorenjska",2012,"Selitveni prirast s tujino - Skupaj",-18
"450","Gorenjska",2012,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-648
"451","Gorenjska",2013,"Selitveni prirast s tujino - Skupaj",-181
"452","Gorenjska",2013,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-400
"453","Gorenjska",2014,"Selitveni prirast s tujino - Skupaj",-229
"454","Gorenjska",2014,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-248
"455","Gorenjska",2015,"Selitveni prirast s tujino - Skupaj",-157
"456","Gorenjska",2015,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-246
"457","Gorenjska",2016,"Selitveni prirast s tujino - Skupaj",-245
"458","Gorenjska",2016,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-119
"459","Gorenjska",2017,"Selitveni prirast s tujino - Skupaj",-30
"460","Gorenjska",2017,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-258
"461","Primorsko-notranjska",1995,"Selitveni prirast s tujino - Skupaj",71
"462","Primorsko-notranjska",1995,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",103
"463","Primorsko-notranjska",1996,"Selitveni prirast s tujino - Skupaj",53
"464","Primorsko-notranjska",1996,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",69
"465","Primorsko-notranjska",1997,"Selitveni prirast s tujino - Skupaj",46
"466","Primorsko-notranjska",1997,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",75
"467","Primorsko-notranjska",1998,"Selitveni prirast s tujino - Skupaj",-26
"468","Primorsko-notranjska",1998,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",108
"469","Primorsko-notranjska",1999,"Selitveni prirast s tujino - Skupaj",86
"470","Primorsko-notranjska",1999,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",131
"471","Primorsko-notranjska",2000,"Selitveni prirast s tujino - Skupaj",88
"472","Primorsko-notranjska",2000,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",130
"473","Primorsko-notranjska",2001,"Selitveni prirast s tujino - Skupaj",109
"474","Primorsko-notranjska",2001,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",47
"475","Primorsko-notranjska",2002,"Selitveni prirast s tujino - Skupaj",68
"476","Primorsko-notranjska",2002,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",84
"477","Primorsko-notranjska",2003,"Selitveni prirast s tujino - Skupaj",168
"478","Primorsko-notranjska",2003,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",32
"479","Primorsko-notranjska",2004,"Selitveni prirast s tujino - Skupaj",74
"480","Primorsko-notranjska",2004,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",85
"481","Primorsko-notranjska",2005,"Selitveni prirast s tujino - Skupaj",127
"482","Primorsko-notranjska",2005,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",89
"483","Primorsko-notranjska",2006,"Selitveni prirast s tujino - Skupaj",222
"484","Primorsko-notranjska",2006,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",28
"485","Primorsko-notranjska",2007,"Selitveni prirast s tujino - Skupaj",536
"486","Primorsko-notranjska",2007,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",33
"487","Primorsko-notranjska",2008,"Selitveni prirast s tujino - Skupaj",506
"488","Primorsko-notranjska",2008,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-64
"489","Primorsko-notranjska",2009,"Selitveni prirast s tujino - Skupaj",438
"490","Primorsko-notranjska",2009,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-18
"491","Primorsko-notranjska",2010,"Selitveni prirast s tujino - Skupaj",22
"492","Primorsko-notranjska",2010,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",6
"493","Primorsko-notranjska",2011,"Selitveni prirast s tujino - Skupaj",32
"494","Primorsko-notranjska",2011,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-52
"495","Primorsko-notranjska",2012,"Selitveni prirast s tujino - Skupaj",47
"496","Primorsko-notranjska",2012,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-62
"497","Primorsko-notranjska",2013,"Selitveni prirast s tujino - Skupaj",142
"498","Primorsko-notranjska",2013,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-131
"499","Primorsko-notranjska",2014,"Selitveni prirast s tujino - Skupaj",51
"500","Primorsko-notranjska",2014,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",62
"501","Primorsko-notranjska",2015,"Selitveni prirast s tujino - Skupaj",113
"502","Primorsko-notranjska",2015,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-108
"503","Primorsko-notranjska",2016,"Selitveni prirast s tujino - Skupaj",67
"504","Primorsko-notranjska",2016,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",44
"505","Primorsko-notranjska",2017,"Selitveni prirast s tujino - Skupaj",-27
"506","Primorsko-notranjska",2017,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-181
"507","Gori<U+0161>ka",1995,"Selitveni prirast s tujino - Skupaj",79
"508","Gori<U+0161>ka",1995,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-99
"509","Gori<U+0161>ka",1996,"Selitveni prirast s tujino - Skupaj",38
"510","Gori<U+0161>ka",1996,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-43
"511","Gori<U+0161>ka",1997,"Selitveni prirast s tujino - Skupaj",19
"512","Gori<U+0161>ka",1997,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",0
"513","Gori<U+0161>ka",1998,"Selitveni prirast s tujino - Skupaj",-224
"514","Gori<U+0161>ka",1998,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-88
"515","Gori<U+0161>ka",1999,"Selitveni prirast s tujino - Skupaj",306
"516","Gori<U+0161>ka",1999,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-80
"517","Gori<U+0161>ka",2000,"Selitveni prirast s tujino - Skupaj",260
"518","Gori<U+0161>ka",2000,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-50
"519","Gori<U+0161>ka",2001,"Selitveni prirast s tujino - Skupaj",30
"520","Gori<U+0161>ka",2001,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-40
"521","Gori<U+0161>ka",2002,"Selitveni prirast s tujino - Skupaj",227
"522","Gori<U+0161>ka",2002,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-44
"523","Gori<U+0161>ka",2003,"Selitveni prirast s tujino - Skupaj",329
"524","Gori<U+0161>ka",2003,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-83
"525","Gori<U+0161>ka",2004,"Selitveni prirast s tujino - Skupaj",110
"526","Gori<U+0161>ka",2004,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-128
"527","Gori<U+0161>ka",2005,"Selitveni prirast s tujino - Skupaj",382
"528","Gori<U+0161>ka",2005,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-134
"529","Gori<U+0161>ka",2006,"Selitveni prirast s tujino - Skupaj",472
"530","Gori<U+0161>ka",2006,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-262
"531","Gori<U+0161>ka",2007,"Selitveni prirast s tujino - Skupaj",1190
"532","Gori<U+0161>ka",2007,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-254
"533","Gori<U+0161>ka",2008,"Selitveni prirast s tujino - Skupaj",1254
"534","Gori<U+0161>ka",2008,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-1082
"535","Gori<U+0161>ka",2009,"Selitveni prirast s tujino - Skupaj",737
"536","Gori<U+0161>ka",2009,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-765
"537","Gori<U+0161>ka",2010,"Selitveni prirast s tujino - Skupaj",34
"538","Gori<U+0161>ka",2010,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-133
"539","Gori<U+0161>ka",2011,"Selitveni prirast s tujino - Skupaj",167
"540","Gori<U+0161>ka",2011,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-297
"541","Gori<U+0161>ka",2012,"Selitveni prirast s tujino - Skupaj",120
"542","Gori<U+0161>ka",2012,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-359
"543","Gori<U+0161>ka",2013,"Selitveni prirast s tujino - Skupaj",132
"544","Gori<U+0161>ka",2013,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-744
"545","Gori<U+0161>ka",2014,"Selitveni prirast s tujino - Skupaj",35
"546","Gori<U+0161>ka",2014,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-151
"547","Gori<U+0161>ka",2015,"Selitveni prirast s tujino - Skupaj",92
"548","Gori<U+0161>ka",2015,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-99
"549","Gori<U+0161>ka",2016,"Selitveni prirast s tujino - Skupaj",126
"550","Gori<U+0161>ka",2016,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-265
"551","Gori<U+0161>ka",2017,"Selitveni prirast s tujino - Skupaj",85
"552","Gori<U+0161>ka",2017,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-346
"553","Obalno-kra<U+0161>ka",1995,"Selitveni prirast s tujino - Skupaj",163
"554","Obalno-kra<U+0161>ka",1995,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",49
"555","Obalno-kra<U+0161>ka",1996,"Selitveni prirast s tujino - Skupaj",83
"556","Obalno-kra<U+0161>ka",1996,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",99
"557","Obalno-kra<U+0161>ka",1997,"Selitveni prirast s tujino - Skupaj",15
"558","Obalno-kra<U+0161>ka",1997,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",123
"559","Obalno-kra<U+0161>ka",1998,"Selitveni prirast s tujino - Skupaj",-27
"560","Obalno-kra<U+0161>ka",1998,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",86
"561","Obalno-kra<U+0161>ka",1999,"Selitveni prirast s tujino - Skupaj",284
"562","Obalno-kra<U+0161>ka",1999,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",246
"563","Obalno-kra<U+0161>ka",2000,"Selitveni prirast s tujino - Skupaj",353
"564","Obalno-kra<U+0161>ka",2000,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",180
"565","Obalno-kra<U+0161>ka",2001,"Selitveni prirast s tujino - Skupaj",325
"566","Obalno-kra<U+0161>ka",2001,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",99
"567","Obalno-kra<U+0161>ka",2002,"Selitveni prirast s tujino - Skupaj",326
"568","Obalno-kra<U+0161>ka",2002,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",145
"569","Obalno-kra<U+0161>ka",2003,"Selitveni prirast s tujino - Skupaj",494
"570","Obalno-kra<U+0161>ka",2003,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",195
"571","Obalno-kra<U+0161>ka",2004,"Selitveni prirast s tujino - Skupaj",78
"572","Obalno-kra<U+0161>ka",2004,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",98
"573","Obalno-kra<U+0161>ka",2005,"Selitveni prirast s tujino - Skupaj",670
"574","Obalno-kra<U+0161>ka",2005,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",63
"575","Obalno-kra<U+0161>ka",2006,"Selitveni prirast s tujino - Skupaj",613
"576","Obalno-kra<U+0161>ka",2006,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",142
"577","Obalno-kra<U+0161>ka",2007,"Selitveni prirast s tujino - Skupaj",1525
"578","Obalno-kra<U+0161>ka",2007,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",58
"579","Obalno-kra<U+0161>ka",2008,"Selitveni prirast s tujino - Skupaj",2104
"580","Obalno-kra<U+0161>ka",2008,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",115
"581","Obalno-kra<U+0161>ka",2009,"Selitveni prirast s tujino - Skupaj",1208
"582","Obalno-kra<U+0161>ka",2009,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",771
"583","Obalno-kra<U+0161>ka",2010,"Selitveni prirast s tujino - Skupaj",117
"584","Obalno-kra<U+0161>ka",2010,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",81
"585","Obalno-kra<U+0161>ka",2011,"Selitveni prirast s tujino - Skupaj",323
"586","Obalno-kra<U+0161>ka",2011,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",206
"587","Obalno-kra<U+0161>ka",2012,"Selitveni prirast s tujino - Skupaj",507
"588","Obalno-kra<U+0161>ka",2012,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-135
"589","Obalno-kra<U+0161>ka",2013,"Selitveni prirast s tujino - Skupaj",243
"590","Obalno-kra<U+0161>ka",2013,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",650
"591","Obalno-kra<U+0161>ka",2014,"Selitveni prirast s tujino - Skupaj",68
"592","Obalno-kra<U+0161>ka",2014,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",-252
"593","Obalno-kra<U+0161>ka",2015,"Selitveni prirast s tujino - Skupaj",308
"594","Obalno-kra<U+0161>ka",2015,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",17
"595","Obalno-kra<U+0161>ka",2016,"Selitveni prirast s tujino - Skupaj",416
"596","Obalno-kra<U+0161>ka",2016,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",75
"597","Obalno-kra<U+0161>ka",2017,"Selitveni prirast s tujino - Skupaj",363
"598","Obalno-kra<U+0161>ka",2017,"Selitveni prirast med statisti<U+010D>nimi regijami - Skupaj",173
